queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1056,0,0,0,0,0,1091,1151,1
2,9.sparql,18,0,0,0,0,0,18,67,1
3,29.sparql,28,0,0,0,0,0,29,53,0
4,25.sparql,15,0,0,0,0,0,16,37,1
5,2.sparql,15,0,0,0,0,0,16,40,1
6,21.sparql,15,0,0,0,0,0,16,41,1
7,28.sparql,25,0,0,0,0,0,26,46,3
8,27.sparql,15,0,0,0,0,0,16,37,1
9,4.sparql,22,0,0,0,0,0,23,46,1
10,26.sparql,30,0,0,0,0,0,31,46,1
11,17.sparql,19,0,0,0,0,0,20,41,1
12,23.sparql,19,0,0,0,0,0,21,41,1
13,3.sparql,22,0,0,0,0,0,23,42,1
14,20.sparql,17,0,0,0,0,0,18,39,1
15,0.sparql,22,0,0,0,0,0,23,38,1
16,1.sparql,20,0,0,0,0,0,20,37,1
17,19.sparql,28,0,0,0,0,0,29,48,1
18,13.sparql,20,0,0,0,0,0,22,37,0
19,16.sparql,21,0,0,0,0,0,22,37,1
20,5.sparql,15,0,0,0,0,0,15,32,1
21,7.sparql,17,0,0,0,0,0,17,33,1
22,15.sparql,16,0,0,0,0,0,17,30,1
23,12.sparql,16,0,0,0,0,0,17,34,1
24,22.sparql,15,0,0,0,0,0,15,31,3
25,11.sparql,14,0,0,0,0,0,15,30,1
26,8.sparql,15,0,0,0,0,0,16,33,1
27,18.sparql,20,0,0,0,0,0,21,35,1
28,24.sparql,20,0,0,0,0,0,20,35,1
29,6.sparql,21,0,0,0,0,0,22,33,1
30,10.sparql,17,0,0,0,0,0,18,34,1
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
0,0,0,0,17,3356
