,6-JV
0,1327.0
1,276.0
2,193.0
3,246.0
4,189.0
5,165.0
6,192.0
7,210.0
8,154.0
9,157.0
10,169.0
11,119.0
12,157.0
13,167.0
14,137.0
15,124.0
16,124.0
17,115.0
18,136.0
