queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,9.sparql,1030,2,2,0,1017206,0,1424,1948,29
2,2.sparql,75,2,2,0,1017206,0,258,505,10
3,4.sparql,53,2,2,0,1017206,0,200,499,45
4,3.sparql,39,2,2,0,1017206,0,165,534,59
5,0.sparql,40,2,2,0,1017206,0,174,535,56
6,1.sparql,38,2,2,0,1017206,0,160,390,48
7,13.sparql,56,2,2,0,1017206,0,177,503,56
8,5.sparql,46,2,2,0,1017206,0,163,304,19
9,7.sparql,57,2,2,0,1017206,0,171,298,21
10,12.sparql,53,2,2,0,1017206,0,140,300,36
11,11.sparql,43,2,2,0,1017206,0,148,288,34
12,8.sparql,35,2,2,0,1017206,0,118,269,52
13,6.sparql,33,2,2,0,1017206,0,112,204,39
14,10.sparql,35,2,2,0,1017206,0,113,247,49
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
28,28,0,14240884,212,7973
