queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1008,1,1,3,3844201,0,1124,1505,949
2,9.sparql,42,1,1,0,1320736,0,93,119,35
3,29.sparql,48,1,1,0,1811761,0,96,253,825
4,25.sparql,32,1,1,0,85900,0,73,94,367
5,2.sparql,29,1,1,0,85900,0,74,85,86
6,21.sparql,35,1,1,0,85900,0,79,87,38
7,28.sparql,45,1,1,3,3844201,0,88,114,78
8,27.sparql,37,1,1,0,777082,0,73,82,0
9,4.sparql,41,1,1,0,777082,0,71,80,0
10,26.sparql,46,1,1,0,866930,0,78,86,0
11,17.sparql,43,1,1,0,1320736,0,79,93,30
12,23.sparql,34,1,1,0,866930,0,57,64,1
13,3.sparql,28,1,1,0,1320736,0,59,71,25
14,20.sparql,42,1,1,0,1320736,0,68,79,26
15,0.sparql,40,1,1,0,1320736,0,68,78,24
16,1.sparql,46,1,1,0,866930,0,76,85,0
17,19.sparql,57,1,1,0,777082,0,78,85,2
18,13.sparql,42,1,1,0,777082,0,64,71,2
19,16.sparql,46,1,1,3,3844201,0,68,87,34
20,5.sparql,46,1,1,3,3844201,0,69,167,483
21,7.sparql,40,1,1,0,671264,0,64,1389,11735
22,15.sparql,49,1,1,0,1320736,0,70,82,25
23,12.sparql,67,1,1,0,866930,0,87,93,0
24,22.sparql,48,1,1,0,777082,0,68,73,1
25,11.sparql,47,1,1,0,777082,0,65,71,0
26,8.sparql,52,1,1,0,1320736,0,72,82,31
27,18.sparql,55,1,1,0,85900,0,77,83,45
28,24.sparql,42,1,1,0,1320736,0,65,74,18
29,6.sparql,55,1,1,3,3844201,0,77,137,428
30,10.sparql,55,1,1,0,1320736,0,74,84,30
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,15,42064466,29,6653
