,5-PV
0,2937.0
1,163.0
2,925.0
3,1382.0
4,93.0
5,106.0
6,131.0
7,97.0
8,113.0
9,137.0
10,112.0
11,210.0
12,121.0
13,107.0
14,118.0
15,337.0
16,119.0
17,365.0
18,68.0
19,65.0
20,81.0
21,82.0
22,86.0
23,70.0
24,1071.0
25,97.0
26,95.0
27,75.0
28,81.0
29,92.0
