,3-PV
0,953.0
1,618.0
2,124.0
3,293.0
4,81.0
5,89.0
6,121.0
7,2019.0
8,69.0
9,209.0
10,1503.0
11,51.0
12,48.0
13,46.0
14,47.0
15,73.0
16,304.0
17,67.0
18,53.0
19,155.0
20,916.0
21,52.0
22,55.0
23,110.0
24,69.0
25,63.0
26,70.0
27,101.0
28,112.0
29,112.0
