,3-JV
0,1738.0
1,238.0
2,420.0
3,94.0
4,106.0
5,210.0
6,168.0
7,76.0
8,326.0
9,118.0
10,152.0
11,194.0
12,79.0
13,89.0
14,99.0
15,167.0
16,86.0
17,71.0
18,134.0
19,143.0
20,80.0
21,1175.0
22,89.0
23,157.0
24,144.0
25,80.0
26,91.0
27,78.0
28,79.0
29,1235.0
