,8k-RS
0,1163.0
1,851.0
2,149.0
3,1019.0
4,447.0
5,536.0
6,81.0
7,83.0
8,410.0
9,78.0
10,86.0
11,152.0
12,1019.0
13,64.0
14,157.0
15,207.0
16,59.0
17,146.0
18,754.0
19,48.0
20,311.0
21,51.0
22,636.0
23,49.0
24,165.0
25,50.0
26,456.0
27,476.0
28,243.0
29,276.0
