,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.473,0.736,0.951,0.568,0.649,0.946,1.847,0.741,0.91,2.048
1,0.034,0.156,0.084,0.163,0.109,0.194,0.115,0.238,0.836,0.305
2,0.032,0.096,0.101,0.26,0.657,0.135,0.102,0.317,0.275,0.728
3,0.018,0.043,0.189,0.095,0.125,0.157,0.046,0.186,0.328,0.336
4,0.021,0.74,0.159,0.081,0.141,0.14,0.111,0.196,0.244,0.098
5,0.018,0.049,0.089,0.074,0.215,0.081,0.106,0.174,0.953,0.128
6,0.02,0.037,4.093,0.125,0.134,0.146,0.099,0.368,0.251,0.109
7,0.03,0.087,0.079,0.82,0.038,0.197,0.084,0.461,0.275,0.227
8,0.025,0.085,0.273,0.152,0.091,0.086,0.091,0.195,0.16,0.239
9,0.024,0.139,0.158,0.164,0.178,0.127,0.124,0.134,0.386,0.189
10,0.035,0.087,0.16,0.097,1.374,0.057,0.134,0.167,0.187,0.282
11,0.038,0.072,1.639,0.12,0.077,0.099,0.086,0.189,0.109,0.609
12,0.04,0.073,0.043,0.105,0.353,0.094,0.074,0.179,0.196,0.262
13,0.027,0.074,0.067,0.102,0.463,0.087,0.078,0.081,0.094,0.254
14,0.03,0.03,0.069,0.084,0.096,0.099,0.083,0.105,0.16,0.257
15,0.034,0.028,0.08,0.085,0.086,0.094,0.074,0.099,0.183,0.894
16,0.017,0.081,0.063,0.14,0.151,0.037,0.038,0.208,0.169,0.22
17,0.021,0.086,0.061,0.067,0.119,0.096,0.171,0.164,0.17,0.134
18,0.029,0.042,0.065,0.092,0.079,0.089,0.078,0.203,0.985,0.256
19,0.034,0.102,0.087,0.119,0.07,0.061,0.102,0.135,0.172,2.345
20,0.025,0.084,0.847,0.138,0.101,0.393,0.074,0.096,0.701,0.156
21,0.031,0.083,0.067,0.138,0.117,0.09,0.919,0.146,0.165,0.281
22,0.039,0.167,0.057,0.121,0.092,0.092,0.09,0.131,0.168,0.589
23,0.043,0.063,0.178,0.343,1.073,0.088,0.116,0.128,0.49,0.289
24,0.041,0.095,0.055,0.094,0.149,0.841,0.081,0.207,0.168,0.964
25,0.028,0.839,0.059,0.039,0.135,0.098,0.012,0.064,0.097,0.22
26,0.027,0.085,0.053,0.075,0.102,0.095,0.078,0.128,0.18,0.211
27,0.033,0.097,0.059,0.105,0.071,0.102,0.085,0.175,0.107,1.568
28,0.031,0.083,0.084,0.281,0.072,0.815,0.077,0.44,0.172,1.178
29,0.014,0.074,0.031,0.137,0.098,0.076,0.416,1.057,0.108,1.058
mean,0.04373333333333333,0.15043333333333334,0.3333333333333333,0.16613333333333333,0.2405,0.1904,0.18636666666666668,0.23706666666666668,0.3133,0.5478
