queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1011,1,1,0,1393817,0,1160,1702,978
2,9.sparql,30,1,1,0,1393817,0,79,249,866
3,29.sparql,15,1,1,0,1393817,0,73,327,1250
4,25.sparql,46,1,1,0,1460171,0,118,231,163
5,2.sparql,36,1,1,0,1393817,0,95,2393,14181
6,21.sparql,42,1,1,0,1460171,0,91,129,138
7,28.sparql,39,1,1,0,1460171,0,87,328,1121
8,27.sparql,41,1,1,0,1393817,0,81,289,1612
9,4.sparql,26,1,1,0,1393817,0,72,232,1041
10,26.sparql,36,1,1,0,1393817,0,94,258,1093
11,17.sparql,29,1,1,0,1460171,0,79,113,237
12,23.sparql,40,1,1,0,1811761,0,72,305,2355
13,3.sparql,44,1,1,0,1393817,0,78,502,3184
14,20.sparql,33,1,1,0,1811761,0,59,122,706
15,0.sparql,30,1,1,0,1393817,0,73,232,1126
16,1.sparql,36,1,1,0,1460171,0,70,108,234
17,19.sparql,49,1,1,0,1811761,0,76,93,158
18,13.sparql,35,1,1,0,1393817,0,71,403,2773
19,16.sparql,28,1,1,0,1393817,0,67,607,4227
20,5.sparql,28,1,1,0,1393817,0,60,212,1284
21,7.sparql,24,1,1,0,1393817,0,54,218,1258
22,15.sparql,28,1,1,0,1460171,0,58,74,124
23,12.sparql,31,1,1,0,1393817,0,54,359,3594
24,22.sparql,27,1,1,0,1811761,0,42,317,5675
25,11.sparql,23,1,1,0,1393817,0,46,241,2180
26,8.sparql,27,1,1,0,1811761,0,41,88,825
27,18.sparql,24,1,1,0,1393817,0,46,199,1807
28,24.sparql,22,1,1,0,1393817,0,44,596,6588
29,6.sparql,27,1,1,0,1393817,0,49,174,1399
30,10.sparql,26,1,1,0,1460171,0,51,67,122
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,0,44368708,41,12397
