queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1099,2,2,0,685688,0,1439,1947,39
2,9.sparql,70,1,1,0,125438,0,180,1090,150
3,29.sparql,41,2,2,0,685688,0,167,433,58
4,25.sparql,25,1,1,0,125438,0,113,691,82
5,2.sparql,26,2,2,0,685688,0,149,262,8
6,21.sparql,23,1,1,0,125438,0,95,1321,148
7,28.sparql,19,2,2,0,685688,0,148,293,51
8,27.sparql,15,1,1,0,125438,0,88,562,65
9,4.sparql,21,1,1,0,905600,0,170,180,0
10,26.sparql,20,2,2,0,685688,0,116,224,32
11,17.sparql,21,3,3,2,5445200,0,153,215,400
12,23.sparql,27,1,1,0,905600,0,174,185,0
13,3.sparql,43,1,1,0,905600,0,184,195,0
14,20.sparql,35,1,1,0,125438,0,104,925,108
15,0.sparql,23,1,1,0,905600,0,153,161,0
16,1.sparql,31,1,1,0,905600,0,171,179,0
17,19.sparql,30,1,1,0,905600,0,158,166,0
18,13.sparql,36,1,1,0,905600,0,159,167,0
19,16.sparql,39,1,1,0,905600,0,173,183,0
20,5.sparql,42,1,1,0,905600,0,167,174,0
21,7.sparql,34,1,1,0,125438,0,90,1022,170
22,15.sparql,37,1,1,0,125438,0,86,1203,245
23,12.sparql,41,1,1,0,905600,0,159,167,0
24,22.sparql,50,1,1,0,905600,0,168,175,0
25,11.sparql,46,1,1,0,905600,0,165,173,0
26,8.sparql,48,2,2,0,685688,0,121,265,46
27,18.sparql,58,1,1,0,905600,0,207,217,0
28,24.sparql,48,2,2,0,685688,0,124,201,23
29,6.sparql,45,2,2,0,685688,0,118,214,28
30,10.sparql,71,2,2,0,685688,0,159,338,46
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
41,41,2,24267258,267,14615
