,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.1226
1,2,0.24373333333333333
2,3,0.5303
3,4,0.5957333333333333
4,5,0.48410000000000003
5,6,0.31693333333333334
6,7,0.32330000000000003
7,8,0.34073333333333333
8,9,0.31976666666666664
9,10,0.31739999999999996
