,2k-RS
0,1487.0
1,93.0
2,174.0
3,243.0
4,231.0
5,164.0
6,289.0
7,167.0
8,121.0
9,1058.0
10,173.0
11,146.0
12,83.0
13,193.0
14,194.0
15,50.0
16,174.0
17,1044.0
18,71.0
19,37.0
20,137.0
21,121.0
22,110.0
23,85.0
24,161.0
25,39.0
26,157.0
27,164.0
28,68.0
29,78.0
