,8-TP
0,741.0
1,238.0
2,317.0
3,186.0
4,196.0
5,174.0
6,368.0
7,461.0
8,195.0
9,134.0
10,167.0
11,189.0
12,179.0
13,81.0
14,105.0
15,99.0
16,208.0
17,164.0
18,203.0
19,135.0
20,96.0
21,146.0
22,131.0
23,128.0
24,207.0
25,64.0
26,128.0
27,175.0
28,440.0
29,1057.0
