,9-TP
0,910.0
1,836.0
2,275.0
3,328.0
4,244.0
5,953.0
6,251.0
7,275.0
8,160.0
9,386.0
10,187.0
11,109.0
12,196.0
13,94.0
14,160.0
15,183.0
16,169.0
17,170.0
18,985.0
19,172.0
20,701.0
21,165.0
22,168.0
23,490.0
24,168.0
25,97.0
26,180.0
27,107.0
28,172.0
29,108.0
