queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1038,1,1,0,251545,0,1244,1297,0
2,9.sparql,51,1,1,0,211215,0,91,108,4
3,29.sparql,35,1,1,1,1208877,0,88,160,42
4,25.sparql,44,1,1,0,981973,0,103,115,0
5,2.sparql,32,1,1,0,481365,0,111,118,0
6,21.sparql,35,1,1,0,90547,0,79,85,2
7,28.sparql,47,1,1,2,3148381,0,107,252,269
8,27.sparql,39,1,1,0,1320736,0,67,79,25
9,4.sparql,28,1,1,2,3148381,0,68,173,322
10,26.sparql,29,1,1,0,85900,0,51,66,86
11,17.sparql,35,1,1,0,1393817,0,71,2545,14181
12,23.sparql,31,1,1,1,1459448,0,69,358,2816
13,3.sparql,34,1,1,0,142080,0,64,70,15
14,20.sparql,25,1,1,0,38477,0,86,91,3
15,0.sparql,21,1,1,0,1320736,0,46,61,24
16,1.sparql,28,1,1,0,400664,0,68,123,379
17,19.sparql,34,1,1,0,981973,0,74,82,0
18,13.sparql,50,1,1,0,866930,0,74,82,0
19,16.sparql,46,1,1,0,426982,0,87,138,13
20,5.sparql,39,1,1,0,981973,0,76,83,1
21,7.sparql,39,1,1,0,337848,0,66,70,0
22,15.sparql,50,1,1,0,1460171,0,84,123,234
23,12.sparql,34,1,1,0,1393817,0,67,225,1126
24,22.sparql,37,1,1,0,400664,0,73,79,20
25,11.sparql,39,1,1,0,481365,0,75,81,28
26,8.sparql,28,1,1,0,251545,0,90,95,0
27,18.sparql,48,1,1,0,426982,0,79,112,14
28,24.sparql,31,1,1,1,2078982,0,57,71,0
29,6.sparql,35,1,1,0,251545,0,89,92,0
30,10.sparql,30,1,1,0,400664,0,63,69,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,7,26425583,39,8281
