queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1040,1,1,1,1208877,0,1179,1394,210
2,9.sparql,50,1,1,0,47705,0,165,189,21
3,29.sparql,56,0,0,0,0,0,184,196,0
4,25.sparql,31,1,1,1,1208877,0,77,108,58
5,2.sparql,29,2,2,1,2813536,0,168,2259,194
6,21.sparql,36,1,1,1,1208877,0,62,137,218
7,28.sparql,33,1,1,0,85900,0,49,55,49
8,27.sparql,18,1,1,2,3010926,0,44,3339,2247
9,4.sparql,24,1,1,0,47705,0,52,73,32
10,26.sparql,23,1,1,0,47705,0,52,59,106
11,17.sparql,20,0,0,0,0,0,74,78,0
12,23.sparql,19,1,1,0,47705,0,50,61,125
13,3.sparql,22,1,1,2,3010926,0,44,2589,2079
14,20.sparql,22,0,0,0,0,0,71,75,0
15,0.sparql,19,1,1,1,1459448,0,38,343,2816
16,1.sparql,24,1,1,1,1208877,0,47,60,42
17,19.sparql,33,1,1,0,47705,0,68,75,52
18,13.sparql,32,1,1,2,3010926,0,53,2776,3276
19,16.sparql,28,1,1,1,1208877,0,46,89,169
20,5.sparql,29,1,1,0,85900,0,42,48,45
21,7.sparql,29,0,0,0,0,0,77,80,0
22,15.sparql,27,1,1,0,211215,0,45,53,49
23,12.sparql,29,1,1,0,675058,0,79,293,1568
24,22.sparql,51,1,1,2,3010926,0,69,3008,2159
25,11.sparql,26,1,1,1,1208877,0,42,52,78
26,8.sparql,32,1,1,0,675058,0,82,187,872
27,18.sparql,26,0,0,0,0,0,73,77,0
28,24.sparql,26,1,1,0,675058,0,74,851,6993
29,6.sparql,27,1,1,1,1208877,0,44,83,318
30,10.sparql,29,1,1,1,2092511,0,46,2299,1868
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
26,26,18,29518052,2270,22158
