,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,0.18866666666666665
1,2,0.263
2,3,0.2638666666666667
3,4,0.2829333333333333
4,5,0.40285714285714286
5,6,0.22931578947368422
