,1-TP
0,473.0
1,34.0
2,32.0
3,18.0
4,21.0
5,18.0
6,20.0
7,30.0
8,25.0
9,24.0
10,35.0
11,38.0
12,40.0
13,27.0
14,30.0
15,34.0
16,17.0
17,21.0
18,29.0
19,34.0
20,25.0
21,31.0
22,39.0
23,43.0
24,41.0
25,28.0
26,27.0
27,33.0
28,31.0
29,14.0
