queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1059,1,1,3,3844201,0,1182,1409,287
2,9.sparql,43,1,1,3,3844201,0,103,424,934
3,29.sparql,32,1,1,3,3844201,0,72,220,923
4,25.sparql,40,1,1,2,3010926,0,88,1886,23127
5,2.sparql,55,1,1,0,1018447,0,130,161,106
6,21.sparql,67,1,1,0,1018447,0,119,160,305
7,28.sparql,73,1,1,2,3010926,0,114,1107,22889
8,27.sparql,35,1,1,0,1018447,0,88,178,696
9,4.sparql,40,1,1,3,3844201,0,63,168,949
10,26.sparql,32,1,1,3,3844201,0,58,133,711
11,17.sparql,37,1,1,0,1018447,0,80,103,52
12,23.sparql,42,1,1,3,3844201,0,69,110,259
13,3.sparql,42,1,1,0,1018447,0,90,240,1201
14,20.sparql,57,1,1,3,3844201,0,83,186,901
15,0.sparql,52,1,1,3,3844201,0,81,138,483
16,1.sparql,43,1,1,3,3844201,0,69,118,428
17,19.sparql,40,1,1,2,3010926,0,77,1160,23878
18,13.sparql,33,1,1,3,3844201,0,51,69,143
19,16.sparql,42,1,1,3,3844201,0,59,77,75
20,5.sparql,44,1,1,3,3844201,0,60,74,78
21,7.sparql,42,1,1,3,3844201,0,65,135,690
22,15.sparql,54,1,1,3,3844201,0,83,170,821
23,12.sparql,46,1,1,0,1018447,0,81,115,219
24,22.sparql,84,1,1,3,3844201,0,109,166,573
25,11.sparql,43,1,1,0,1018447,0,72,127,768
26,8.sparql,58,1,1,3,3844201,0,82,105,67
27,18.sparql,79,1,1,2,3010926,0,115,2356,36665
28,24.sparql,47,1,1,3,3844201,0,67,121,703
29,6.sparql,56,1,1,3,3844201,0,73,97,241
30,10.sparql,60,1,1,3,3844201,0,82,150,915
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,65,92212652,90,12894
