,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,1.037,1.268,1.738,1.673,1.749,1.327
1,0.108,0.436,0.238,0.439,0.364,0.276
2,0.145,0.174,0.42,0.237,0.386,0.193
3,0.115,0.123,0.094,0.45,0.359,0.246
4,0.118,0.263,0.106,0.275,0.417,0.189
5,0.085,0.246,0.21,0.328,0.245,0.165
6,0.147,0.272,0.168,0.388,0.438,0.192
7,0.079,0.247,0.076,0.193,0.304,0.21
8,0.134,0.082,0.326,0.173,0.298,0.154
9,0.066,0.089,0.118,0.275,0.154,0.157
10,1.784,0.164,0.152,0.312,0.169,0.169
11,0.235,0.159,0.194,0.264,0.269,0.119
12,0.07,0.106,0.079,0.184,0.143,0.157
13,0.091,0.247,0.089,0.18,0.345,0.167
14,0.061,0.093,0.099,0.273,,0.137
15,0.129,0.213,0.167,0.174,,0.124
16,0.082,1.264,0.086,0.262,,0.124
17,0.034,0.065,0.071,0.197,,0.115
18,0.138,0.038,0.134,0.249,,0.136
19,0.083,0.137,0.143,0.178,,
20,0.054,0.068,0.08,0.188,,
21,0.117,0.074,1.175,0.19,,
22,0.175,0.076,0.089,0.143,,
23,0.079,1.327,0.157,0.189,,
24,0.081,0.134,0.144,0.149,,
25,0.095,0.174,0.08,0.149,,
26,0.086,0.081,0.091,0.199,,
27,0.071,0.07,0.078,0.22,,
28,0.092,0.084,0.079,0.173,,
29,0.069,0.116,1.235,0.184,,
mean,0.18866666666666665,0.263,0.2638666666666667,0.2829333333333333,0.40285714285714286,0.22931578947368422
