queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1115,1,1,0,400664,0,1295,1545,313
2,9.sparql,40,1,1,0,53075,0,110,218,331
3,29.sparql,73,1,1,2,3148381,0,178,260,246
4,25.sparql,30,0,0,0,0,0,128,137,0
5,2.sparql,17,1,1,0,981973,0,66,81,0
6,21.sparql,35,1,1,0,956171,0,134,165,4
7,28.sparql,34,2,2,1,3181013,0,106,125,1
8,27.sparql,39,1,1,0,971300,0,93,1413,4193
9,4.sparql,32,1,1,0,426982,0,90,152,14
10,26.sparql,41,1,1,0,137335,0,109,113,0
11,17.sparql,34,1,1,0,400664,0,86,97,58
12,23.sparql,33,2,2,1,3181013,0,99,120,1
13,3.sparql,51,1,1,0,400664,0,97,105,20
14,20.sparql,41,1,1,0,426982,0,90,102,4
15,0.sparql,35,1,1,0,981973,0,78,84,0
16,1.sparql,39,1,1,0,400664,0,78,85,0
17,19.sparql,56,1,1,0,137335,0,134,140,0
18,13.sparql,56,1,1,0,981973,0,97,104,1
19,16.sparql,40,1,1,0,426982,0,82,133,13
20,5.sparql,51,1,1,0,400664,0,98,155,379
21,7.sparql,53,1,1,2,3148381,0,93,138,269
22,15.sparql,36,1,1,2,3148381,0,76,138,318
23,12.sparql,51,2,2,1,3181013,0,102,121,2
24,22.sparql,56,1,1,1,1996964,0,106,343,0
25,11.sparql,35,0,0,0,0,0,87,94,0
26,8.sparql,38,2,2,1,3181013,0,90,105,4
27,18.sparql,38,1,1,0,1040012,0,69,75,0
28,24.sparql,36,1,1,2,3148381,0,66,105,203
29,6.sparql,75,1,1,1,1996964,0,122,281,2
30,10.sparql,29,1,1,1,1996964,0,64,203,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
32,32,15,40833881,174,8057
