queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1025,2,2,0,919299,0,1367,1704,8
2,9.sparql,46,2,2,2,3556921,0,295,535,390
3,29.sparql,28,1,1,0,51709,0,83,234,5
4,25.sparql,28,1,1,0,956171,0,91,115,4
5,2.sparql,20,2,2,0,919299,0,163,263,7
6,21.sparql,26,1,1,1,1996964,0,84,357,0
7,28.sparql,28,2,2,0,685688,0,156,272,8
8,27.sparql,27,2,2,2,3556921,0,204,439,437
9,4.sparql,28,0,0,0,0,0,73,82,0
10,26.sparql,38,2,2,1,2457511,0,118,158,28
11,17.sparql,31,2,2,0,919299,0,157,272,4
12,23.sparql,36,2,2,0,1381877,0,146,159,4
13,3.sparql,40,2,2,0,1381877,0,96,106,2
14,20.sparql,23,1,1,1,1996964,0,75,417,15
15,0.sparql,21,2,2,0,1381877,0,81,93,1
16,1.sparql,21,2,2,2,3193816,0,87,356,30
17,19.sparql,34,2,2,1,2813536,0,107,1408,194
18,13.sparql,23,0,0,0,0,0,61,65,0
19,16.sparql,17,2,2,1,2022398,0,67,99,33
20,5.sparql,25,1,1,1,1996964,0,65,181,0
21,7.sparql,18,2,2,1,3181013,0,53,68,4
22,15.sparql,26,2,2,1,2457511,0,81,92,8
23,12.sparql,30,2,2,1,3181013,0,65,76,2
24,22.sparql,27,1,1,0,125438,0,112,1495,41
25,11.sparql,26,1,1,1,1996964,0,61,192,2
26,8.sparql,23,2,2,2,3556921,0,132,200,482
27,18.sparql,24,2,2,0,1381877,0,70,81,2
28,24.sparql,27,0,0,0,0,0,66,70,0
29,6.sparql,27,2,2,0,364824,0,88,118,7
30,10.sparql,31,1,1,0,1386676,0,58,130,1092
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
46,46,18,49821328,99,10944
