,1k-RS
0,1793.0
1,153.0
2,510.0
3,103.0
4,109.0
5,84.0
6,327.0
7,124.0
8,138.0
9,396.0
10,70.0
11,83.0
12,73.0
13,178.0
14,97.0
15,89.0
16,75.0
17,114.0
18,68.0
19,258.0
20,113.0
21,131.0
22,137.0
23,107.0
24,88.0
25,94.0
26,178.0
27,138.0
28,84.0
29,115.0
