queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1779,3,3,36,39482177,0,2466,3691,0
2,9.sparql,123,2,2,7,9479409,0,265,1211,113
3,29.sparql,68,1,1,0,871628,0,108,1714,116
4,25.sparql,46,2,2,29,32116185,0,131,2021,187
5,2.sparql,37,2,2,7,9479409,0,120,910,107
6,21.sparql,41,1,1,0,1385311,0,108,6007,239
7,28.sparql,47,2,2,5,7095712,0,125,1180,376
8,27.sparql,38,2,2,7,9479409,0,109,682,121
9,4.sparql,37,1,1,3,4347692,0,60,213,113
10,26.sparql,37,1,1,0,1218483,0,55,15594,152
11,17.sparql,41,2,2,32,34853326,0,187,293,0
12,23.sparql,43,2,2,7,9479409,0,105,602,118
13,3.sparql,48,1,1,0,946979,0,119,127,0
14,20.sparql,52,2,2,29,32116185,0,99,955,167
15,0.sparql,53,2,2,29,32116185,0,98,1050,191
16,1.sparql,63,1,1,1,1482665,0,80,95,168
17,19.sparql,59,3,3,36,39482177,0,213,413,0
18,13.sparql,69,3,3,40,44147085,0,175,12230,204
19,16.sparql,62,1,1,0,977254,0,81,97,111
20,5.sparql,61,1,1,3,4347692,0,81,256,149
21,7.sparql,73,2,2,7,9479409,0,136,618,103
22,15.sparql,71,1,1,0,241923,0,141,964,617
23,12.sparql,71,1,1,0,871628,0,92,869,164
24,22.sparql,68,1,1,0,946979,0,161,164,0
25,11.sparql,75,2,2,5,7095712,0,145,1033,407
26,8.sparql,73,2,2,22,25086526,0,118,186,146
27,18.sparql,81,2,2,29,32116185,0,124,821,139
28,24.sparql,76,2,2,5,7095712,0,140,909,344
29,6.sparql,79,1,1,3,3834091,0,100,114,77
30,10.sparql,84,1,1,1,1525703,0,113,119,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
50,50,343,403198240,35,56382
