queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,9.sparql,1841,2,2,10,11859327,0,2171,5142,539
2,2.sparql,158,2,2,10,11859327,0,272,1749,188
3,4.sparql,58,2,2,10,11859327,0,159,2627,530
4,3.sparql,46,2,2,10,11859327,0,133,1669,525
5,0.sparql,60,2,2,10,11859327,0,156,2343,419
6,1.sparql,69,2,2,10,11859327,0,163,2078,469
7,13.sparql,101,2,2,10,11859327,0,195,3150,670
8,5.sparql,119,2,2,10,11859327,0,285,2536,441
9,7.sparql,92,2,2,10,11859327,0,176,1805,388
10,12.sparql,92,2,2,10,11859327,0,192,1936,527
11,11.sparql,75,2,2,10,11859327,0,160,1391,489
12,8.sparql,76,2,2,10,11859327,0,145,1583,503
13,6.sparql,165,2,2,10,11859327,0,284,1961,457
14,10.sparql,150,2,2,10,11859327,0,225,1454,430
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
28,28,140,166030578,1304,32533
