,2-JV
0,1386.0
1,1247.0
2,3846.0
3,87.0
4,969.0
5,119.0
6,609.0
7,61.0
8,52.0
9,195.0
10,734.0
11,101.0
12,134.0
13,41.0
14,121.0
15,1211.0
16,6732.0
17,4529.0
18,352.0
19,203.0
20,132.0
21,179.0
22,145.0
23,9476.0
24,311.0
25,202.0
26,124.0
27,40.0
28,413.0
29,5478.0
