,No. of Projection Variables (PV),Avg. queries exection time(sec)
0,1,0.0877
1,2,0.4739333333333333
2,3,1.8407
3,4,0.615103448275862
4,5,1.8942
5,6,0.911
6,7,1.0906333333333333
7,8,1.3405333333333334
8,9,1.9065333333333334
9,10,6.125633333333333
