,10-PV
0,2143.0
1,1153.0
2,1007.0
3,621.0
4,251.0
5,371.0
6,8216.0
7,5903.0
8,20714.0
9,571.0
10,715.0
11,1102.0
12,793.0
13,320.0
14,574.0
15,9149.0
16,829.0
17,350.0
18,627.0
19,331.0
20,50713.0
21,17383.0
22,5919.0
23,480.0
24,13074.0
25,4292.0
26,376.0
27,17426.0
28,458.0
29,17908.0
