,4k-RS
0,33491.0
1,398.0
2,70.0
3,7420.0
4,324.0
5,27403.0
6,983.0
7,102.0
8,363.0
9,78.0
10,3961.0
11,189.0
12,173.0
13,438.0
14,453.0
15,98.0
16,133.0
17,5480.0
18,130.0
19,1946.0
20,632.0
21,151.0
22,2285.0
23,52385.0
24,106.0
25,162.0
26,2454.0
27,6589.0
28,14983.0
29,116.0
