,3k-RS
0,1749.0
1,1185.0
2,1399.0
3,13904.0
4,153.0
5,98.0
6,177.0
7,453.0
8,328.0
9,645.0
10,96.0
11,143.0
12,110.0
13,121.0
14,648.0
15,738.0
16,278.0
17,28453.0
18,89.0
19,8639.0
20,780.0
21,43510.0
22,245.0
23,736.0
24,11364.0
25,3331.0
26,130.0
27,1794.0
28,285.0
29,112.0
