queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1776,1,1,20,21461779,0,1950,6972,24359
2,9.sparql,34,0,0,0,0,0,99,110,0
3,29.sparql,73,1,1,0,598915,0,120,555,2032
4,25.sparql,41,1,1,20,21461779,0,88,3041,24583
5,2.sparql,55,1,1,10,10614563,1,127,30345,126516
6,21.sparql,46,1,1,14,15614005,0,113,13004,90505
7,28.sparql,62,0,0,0,0,0,137,148,0
8,27.sparql,49,0,0,0,0,0,113,122,0
9,4.sparql,47,1,1,20,21461779,0,93,3742,23705
10,26.sparql,39,0,0,0,0,0,99,105,0
11,17.sparql,41,1,1,20,21461779,0,93,1843,12055
12,23.sparql,41,1,1,20,21461779,0,80,3406,24076
13,3.sparql,37,1,1,14,15718773,0,64,188,695
14,20.sparql,38,1,1,20,21461779,0,74,3366,23583
15,0.sparql,58,1,1,10,10614563,0,98,11631,41889
16,1.sparql,68,0,0,0,0,0,140,149,0
17,19.sparql,51,1,1,0,598915,0,90,1489,6378
18,13.sparql,80,1,1,20,21461779,0,137,4145,24075
19,16.sparql,48,1,1,20,21461779,0,88,3589,23989
20,5.sparql,51,1,1,14,15718773,0,86,255,640
21,7.sparql,75,1,1,20,21461779,0,123,3805,24054
22,15.sparql,74,1,1,20,21461779,0,121,3747,23539
23,12.sparql,78,0,0,0,0,0,131,137,0
24,22.sparql,46,0,0,0,0,0,90,96,0
25,11.sparql,51,1,1,14,15718773,0,73,176,629
26,8.sparql,55,1,1,20,21461779,0,84,3777,23947
27,18.sparql,104,0,0,0,0,0,181,197,0
28,24.sparql,91,1,1,20,21461779,0,150,3714,23745
29,6.sparql,51,1,1,20,21461779,0,97,3275,24189
30,10.sparql,48,0,0,0,0,0,107,114,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
21,21,336,364200407,67,108372
