,8-TP
0,2089.0
1,771.0
2,936.0
3,1184.0
4,346.0
5,428.0
6,610.0
7,119.0
8,478.0
9,719.0
10,537.0
11,599.0
12,475.0
13,104.0
14,599.0
15,751.0
16,609.0
17,321.0
18,509.0
19,280.0
20,10199.0
21,1108.0
22,422.0
23,712.0
24,819.0
25,366.0
26,152.0
27,569.0
28,2023.0
29,8562.0
