,6-TP
0,28162.0
1,178.0
2,361.0
3,174.0
4,119.0
5,147.0
6,148.0
7,710.0
8,84.0
9,73.0
10,136.0
11,117.0
12,138.0
13,135.0
14,87.0
15,84.0
16,86.0
17,101.0
18,111.0
19,237.0
20,2196.0
21,119.0
22,114.0
23,63.0
24,4174.0
25,380.0
26,274.0
27,135.0
28,6391.0
29,101.0
