,4-TP
0,1125.0
1,272.0
2,174.0
3,1159.0
4,91.0
5,89.0
6,242.0
7,4198.0
8,410.0
9,108.0
10,148.0
11,218.0
12,121.0
13,164.0
14,127.0
15,41.0
16,101.0
17,110.0
18,173.0
19,391.0
20,112.0
21,125.0
22,162.0
23,175.0
24,2587.0
25,141.0
26,102.0
27,128.0
28,310.0
29,184.0
