,6-PV
0,2031.0
1,128.0
2,487.0
3,475.0
4,184.0
5,190.0
6,135.0
7,150.0
8,121.0
9,138.0
10,101.0
11,620.0
12,107.0
13,125.0
14,109.0
15,307.0
16,130.0
17,109.0
18,127.0
19,10919.0
20,4047.0
21,877.0
22,4386.0
23,130.0
24,204.0
25,141.0
26,335.0
27,144.0
28,247.0
29,126.0
