,2-PV
0,2749.0
1,128.0
2,663.0
3,219.0
4,181.0
5,167.0
6,387.0
7,137.0
8,83.0
9,75.0
10,127.0
11,107.0
12,143.0
13,137.0
14,131.0
15,109.0
16,89.0
17,110.0
18,270.0
19,840.0
20,5213.0
21,179.0
22,190.0
23,148.0
24,206.0
25,301.0
26,317.0
27,217.0
28,467.0
29,128.0
