queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1757,2,2,3,3909359,0,2040,3052,112
2,9.sparql,69,2,2,7,9479409,0,234,1208,113
3,29.sparql,44,2,2,33,36756590,0,256,1507,4183
4,25.sparql,42,2,2,33,36756590,0,243,1255,4123
5,2.sparql,35,2,2,3,3909359,0,135,556,105
6,21.sparql,40,2,2,7,9479409,0,156,728,107
7,28.sparql,28,2,2,33,36756590,0,176,821,4222
8,27.sparql,30,0,0,0,0,0,158,164,0
9,4.sparql,32,2,2,7,9479409,0,115,810,107
10,26.sparql,50,2,2,7,9479409,0,164,921,108
11,17.sparql,46,2,2,33,36756590,0,182,795,4009
12,23.sparql,30,2,2,33,36756590,0,134,750,4173
13,3.sparql,38,2,2,33,36756590,0,140,720,4141
14,20.sparql,31,0,0,0,0,0,143,148,0
15,0.sparql,34,2,2,7,9479409,0,117,599,103
16,1.sparql,42,2,2,33,36756590,0,146,751,4080
17,19.sparql,35,2,2,7,9479409,0,111,609,121
18,13.sparql,35,2,2,3,3909359,1,100,321,81
19,16.sparql,35,2,2,7,9479409,0,114,570,118
20,5.sparql,39,2,2,3,3909359,0,104,333,99
21,7.sparql,40,1,1,5,6620131,0,147,13739,56210
22,15.sparql,70,1,1,0,241923,0,186,1898,617
23,12.sparql,59,2,2,3,3909359,0,129,462,96
24,22.sparql,42,2,2,7,9479409,0,111,762,119
25,11.sparql,75,2,2,33,36756590,0,214,861,4126
26,8.sparql,39,2,2,3,3909359,0,97,366,97
27,18.sparql,50,0,0,0,0,0,148,152,0
28,24.sparql,42,2,2,7,9479409,0,112,569,94
29,6.sparql,45,1,1,5,6620131,0,145,2023,8247
30,10.sparql,49,3,3,40,44147085,0,148,11562,204
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
52,52,395,460452825,11514,50230
