,9-PV
0,2005.0
1,5978.0
2,863.0
3,2127.0
4,1081.0
5,7049.0
6,1034.0
7,4143.0
8,164.0
9,1067.0
10,187.0
11,229.0
12,195.0
13,4509.0
14,177.0
15,159.0
16,137.0
17,174.0
18,209.0
19,210.0
20,8504.0
21,10957.0
22,292.0
23,315.0
24,379.0
25,1075.0
26,284.0
27,1274.0
28,1128.0
29,1291.0
