,1-TP
0,718.0
1,51.0
2,37.0
3,85.0
4,21.0
5,46.0
6,37.0
7,19.0
8,57.0
9,54.0
10,36.0
11,56.0
12,27.0
13,53.0
14,49.0
15,52.0
16,44.0
17,46.0
18,43.0
19,52.0
20,51.0
21,58.0
22,51.0
23,25.0
24,52.0
25,34.0
26,42.0
27,42.0
28,31.0
29,27.0
