,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,1.793,2.765,1.749,33.491,2.596,1.847,8.452,2.438,4.385,3.472
1,0.153,0.856,1.185,0.398,0.238,1.296,0.11,1.537,3.856,12.375
2,0.51,1.481,1.399,0.07,0.268,1.193,0.497,0.537,2.184,14.398
3,0.103,1.937,13.904,7.42,0.219,9.483,2.097,2.194,0.227,0.381
4,0.109,0.734,0.153,0.324,12.056,0.367,23.097,1.753,5.385,8.439
5,0.084,4.618,0.098,27.403,0.274,0.913,11.563,1.295,1.094,0.27
6,0.327,0.937,0.177,0.983,0.082,10.583,0.148,1.748,1.837,0.456
7,0.124,0.51,0.453,0.102,27.494,0.723,0.122,0.355,1.546,0.995
8,0.138,0.213,0.328,0.363,0.122,0.958,2.538,1.438,1.846,0.93
9,0.396,12.683,0.645,0.078,0.127,1.145,0.105,0.176,0.125,1.328
10,0.07,0.184,0.096,3.961,0.088,0.805,1.379,0.572,1.746,0.784
11,0.083,0.394,0.143,0.189,0.154,0.431,2.985,1.375,1.746,1.238
12,0.073,0.117,0.11,0.173,21.964,2.345,0.188,7.438,0.226,2.176
13,0.178,0.743,0.121,0.438,5.21,1.095,2.319,0.357,2.456,0.468
14,0.097,0.976,0.648,0.453,2.903,0.757,9.847,7.439,0.129,17.462
15,0.089,0.095,0.738,0.098,0.161,0.604,0.149,0.605,0.268,0.938
16,0.075,0.413,0.278,0.133,0.153,9.473,1.489,0.071,0.327,0.409
17,0.114,9.463,28.453,5.48,20.473,0.271,2.985,0.732,2.419,3.844
18,0.068,0.097,0.089,0.13,0.273,0.215,2.869,3.275,8.739,3.691
19,0.258,0.146,8.639,1.946,0.082,0.216,0.255,0.082,1.847,1.046
20,0.113,0.51,0.78,0.632,0.105,0.625,2.749,6.348,1.648,0.946
21,0.131,0.739,43.51,0.151,0.132,0.691,3.747,0.091,0.138,0.227
22,0.137,0.638,0.245,2.285,0.109,0.293,0.137,0.943,0.987,1.648
23,0.107,0.164,0.736,52.385,18.69,0.55,0.096,0.102,1.947,2.661
24,0.088,0.968,11.364,0.106,0.23,0.254,0.176,0.664,1.746,1.437
25,0.094,0.186,3.331,0.162,5.31,0.239,2.758,2.385,0.225,0.472
26,0.178,0.813,0.13,2.454,0.142,11.683,0.197,3.385,1.748,1.637
27,0.138,0.598,1.794,6.589,0.162,0.678,2.849,7.348,1.437,4.385
28,0.084,0.114,0.285,14.983,0.488,0.343,2.749,5.395,0.155,1.557
29,0.115,0.119,0.112,0.116,22.483,0.513,0.114,0.453,0.163,0.253
mean,0.2009,1.4737,4.056433333333334,5.449866666666667,4.759600000000001,2.0196333333333336,2.9588666666666668,2.084366666666667,1.7527333333333333,3.010766666666667
