,1-JV
0,1843.0
1,124.0
2,274.0
3,143.0
4,113.0
5,98.0
6,183.0
7,123.0
8,178.0
9,143.0
10,11209.0
11,1286.0
12,136.0
13,158.0
14,205.0
15,638.0
16,213.0
17,123.0
18,429.0
19,110.0
20,93.0
21,324.0
22,1217.0
23,346.0
24,130.0
25,164.0
26,294.0
27,135.0
28,132.0
29,173.0
