,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.577,0.486,0.499,0.403,1.101,0.872,0.643,3.493,0.747,8.953
1,0.473,0.465,0.531,0.547,0.446,0.779,0.607,2.847,6.965,311.378
2,0.559,0.358,1.182,0.397,0.638,0.737,1.041,1.332,0.626,5.834
3,0.608,0.325,0.48,0.458,2.707,0.678,0.674,2.543,6.808,11.559
4,0.808,0.414,2.273,0.757,0.556,0.73,0.841,3.486,0.79,4.235
5,0.585,2.071,0.522,1.187,0.501,0.792,0.731,1.209,0.722,4.863
6,0.695,0.354,4.655,0.532,0.909,2.733,0.543,2.165,0.385,3.004
7,0.443,0.366,13.329,0.591,1.354,1.286,0.577,13.28,420.256,296.842
8,0.564,7.239,0.765,0.799,1.105,0.961,0.514,1.739,6.837,1.49
9,0.399,2.182,0.609,2.552,1.075,0.848,0.718,4.956,423.539,11.66
10,0.764,0.483,0.697,1.116,0.89,0.646,491.096,84.624,9.548,1.934
11,0.696,0.378,1.066,12.764,1.591,1.835,0.697,3.217,1.178,287.207
12,0.751,1.444,0.805,0.704,0.675,0.753,1.012,1.856,0.752,286.222
13,0.83,0.743,0.534,0.488,2.284,0.749,0.558,1.783,0.433,1.766
14,0.708,0.587,0.601,1.086,0.406,3.173,395.308,2.304,6.723,1.531
15,0.341,0.315,15.078,0.748,0.563,1.036,406.24,0.851,0.76,1.481
16,0.439,0.292,1.563,0.631,1.09,0.756,1.095,4.319,406.495,11.846
17,0.407,0.326,1.177,0.917,40.323,0.658,1.075,3.085,1.32,1.451
18,0.59,0.348,0.653,0.602,0.735,0.978,0.852,0.553,0.793,11.413
19,0.315,0.521,0.601,1.231,10.431,0.984,0.856,4.005,0.829,1.506
20,0.3,0.341,0.737,0.703,0.854,0.614,0.537,0.664,0.908,13.373
21,0.283,0.363,0.51,0.421,10.364,0.778,0.579,4.408,414.092,1.435
22,0.299,0.28,3.941,0.954,6.15,0.875,1.65,3.67,407.021,5.521
23,0.629,0.991,0.47,0.595,6.744,0.604,1.403,2.597,0.71,284.654
24,0.391,0.525,0.789,0.903,1.036,0.832,0.587,3.405,10.369,286.64300000000003
25,0.645,0.555,0.525,2.185,0.796,0.788,1.074,2.364,6.664,1.396
26,0.317,1.44,1.005,1.031,0.998,0.722,0.94,3.616,382.773,2417.02
27,0.295,0.378,0.815,6.963,0.748,0.974,0.568,0.53,451.338,5.595
28,1.082,0.282,4.526,0.998,0.726,0.715,0.563,2.473,13.225,8.491
29,0.643,0.573,0.742,0.645,0.724,0.618,1.007,2.465,8.464,1.004
mean,0.5478666666666666,0.8475000000000001,2.0559999999999996,1.4636000000000002,3.2840000000000007,0.9834666666666669,43.81953333333335,5.661299999999999,99.73566666666667,143.0435666666667
