,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.21,0.227,0.39,0.38,7.451,0.626
1,0.338,0.267,0.218,0.229,7.463,1.067
2,0.229,0.32,0.211,0.46,2.893,1.125
3,0.296,0.217,0.439,0.292,8.26,0.779
4,0.289,0.205,0.801,0.326,7.496,0.523
5,0.207,0.201,0.294,0.33,8.171,1.343
6,0.216,0.317,0.308,0.372,7.19,0.657
7,0.281,0.205,0.267,0.532,6.689,0.582
8,0.233,0.433,0.295,0.248,6.986,0.368
9,0.261,0.416,0.22,0.417,5.232,0.955
10,0.426,0.502,0.267,0.417,5.997,0.59
11,0.215,0.209,0.379,0.23,6.515,1.158
12,0.649,0.237,0.215,0.347,7.283,1.995
13,0.269,0.203,0.309,0.307,10.633,0.819
14,0.203,0.317,0.276,1.048,15.0,0.603
15,0.254,0.218,2.819,0.471,17.0,0.84
16,0.341,0.302,0.214,0.242,19.0,1.575
17,5.798,0.292,0.379,0.682,21.0,0.717
18,0.218,0.231,0.381,0.232,23.0,0.621
19,0.377,0.319,0.623,0.337,25.0,20.0
20,0.219,0.225,0.328,0.554,27.0,22.0
21,0.204,0.209,0.217,0.482,29.0,24.0
22,0.221,2.495,0.8,0.408,,26.0
23,0.754,0.225,0.235,0.439,,28.0
24,0.204,0.215,0.334,0.395,,30.0
25,0.205,0.219,0.452,0.386,,
26,0.219,0.239,0.231,0.459,,
27,0.21,0.441,0.297,0.314,,
28,0.276,0.262,0.225,0.704,,
29,0.216,0.236,0.847,0.431,,
mean,0.46793333333333337,0.34680000000000005,0.44236666666666663,0.41569999999999996,12.466318181818183,6.677719999999999
