,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.25050000000000006
1,2,0.3497
2,3,0.8874999999999998
3,4,0.8084333333333334
4,5,0.5153666666666666
5,6,0.8009
6,7,0.8826333333333334
7,8,1.1962
8,9,1.1594666666666669
9,10,0.6820645161290324
