,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.129,0.273,5.338,12.359,6.339,0.496,0.198,16.056,0.152,45.965
1,0.129,0.13,0.616,0.112,8.985,3.891,0.172,10.524,0.156,1209.199
2,0.134,2.471,0.134,0.663,0.169,0.53,37.197,31.923,26.444,46.958
3,0.11,0.247,0.748,0.414,6.443,0.525,0.15,34.94,0.171,85.7
4,0.13,0.191,0.127,2.116,0.154,0.4,0.161,17.128,0.17,37.985
5,0.126,6.529,45.294,0.165,8.459,66.021,0.537,16.27,0.16,10.449
6,0.116,5.02,7.188,2.733,0.144,7.034,0.162,110.055,24.8,24.033
7,0.113,155.046,534.6610000000001,0.23,22.364,23.579,0.151,33.68,1083.22,39.533
8,0.113,0.232,1.947,1.358,2.468,1.437,0.155,758.527,26.821,1071.328
9,0.115,0.212,18.311,0.803,33.238,0.451,0.748,19.914,1065.405,69.381
10,0.118,0.211,272.634,0.254,6.511,0.37,0.815,10.621,29.058,33.837
11,0.131,0.11,0.2,0.257,14.144,6.19,43.839,10.084,0.147,1165.374
12,0.121,0.11,5.302,1.007,8.485,35.675,1009.131,32.889,0.15,1029.478
13,0.127,0.169,0.666,264.682,0.625,0.504,1077.553,10.074,0.168,12.31
14,0.132,9.367,0.902,1.824,420.678,42.455,56.94,9.526,27.627,10.487
15,0.123,0.222,5.424,6.173,0.174,56.717,0.162,10.253,1164.0,32.046
16,0.132,0.765,18.435,52.913,8.385,0.612,1108.195,15.287,0.163,67.149
17,0.13,0.245,19.09,0.904,13.134,0.468,0.452,30.934,0.224,64.617
18,0.113,1.16,0.837,0.627,6.639,5.81,93.563,16.147,0.168,10.225
19,0.122,0.138,123.732,0.476,4.155,0.699,0.184,0.166,0.226,79.56
20,0.118,0.21,0.144,25.16,0.178,1.183,0.174,0.157,1433.024,10.251
21,0.104,1.097,0.117,29.287,3.004,0.579,0.533,15.48,1052.703,10.313
22,0.129,0.121,1.3,0.138,8.121,0.387,0.173,16.158,0.159,33.049
23,0.125,0.123,0.146,24.602,0.145,10.1,0.489,30.545,0.143,94.451
24,0.121,0.202,1.191,0.157,36.347,0.349,0.411,16.913,27.99,1246.515
25,0.113,6.994,1.878,0.595,4303.776,7.231,19.142,32.455,982.791,31.504
26,0.112,0.121,2.73,0.179,1.177,2.083,0.213,16.187,26.092,10.512
27,0.107,0.122,0.144,305.232,0.159,0.617,0.42,35.191,977.43,1024.331
28,0.112,1.402,2.743,0.534,0.145,0.425,0.366,31.644,37.272,30.992
29,0.124,10.45,11.152,0.153,0.162,3.699,27.094,32.028,25.521,67.635
mean,0.12096666666666668,6.789666666666667,36.10436666666667,24.536900000000003,164.16356666666667,9.35056666666667,115.98266666666667,47.391866666666665,267.0851666666666,256.8389000000001
