,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,21.944033333333337
1,2,53.21049999999999
2,3,49.70403333333333
3,4,42.671666666666674
4,5,20.482999999999997
5,6,53.637157894736845
