,1-RS,2-RS,3-RS,4-RS,5-RS,6-RS,7-RS,8-RS,9-RS,10-RS
0,0.116,0.115,34.869,17.43,20.108,5.957,359.718,272.747,2.274,0.124
1,0.097,0.107,34.822,3.299,2.741,5.085,0.149,19.193,3.538,0.11
2,0.097,0.1,0.144,6.49,15.154,1.812,638.309,49.557,208.722,0.101
3,0.107,0.099,12.681,25.332,12.551,29.907,2.868,267.883,7.275,0.12
4,0.099,0.102,35.755,55.963,7.721,9.849,69.004,23.163,18.286,0.106
5,0.098,0.105,1105.743,116.409,1.207,1.4,2.635,0.131,23.075,0.113
6,0.11,0.102,4.524,409.537,15.703,3.212,59.116,271.849,5.462,0.121
7,0.106,0.098,34.249,1.31,0.146,7.267,58.0,351.174,25.073,0.119
8,0.107,0.099,2.301,24.787,215.639,1.504,59.48,55.096,5.665,0.089
9,0.103,0.106,33.676,1.221,8.929,9.286,0.152,30.182,169.966,0.104
10,0.097,0.098,0.143,9.466,19.574,8.92,0.133,21.593,3.859,0.093
11,0.093,0.115,4189.356,45.227,3.716,3.362,2.601,29.131,21.957,0.1
12,0.09,0.099,6.304,21.574,0.148,3.719,0.129,34.346,11.717,0.099
13,0.094,0.087,42.677,31.204,12.621,2.389,60.466,32.47,188.598,0.099
14,0.109,0.11,18.257,14.176,8.731,3.67,61.325,52.907,174.44,0.115
15,0.091,0.1,55.43,16.133,5.939,8.402,59.518,0.133,2.886,0.102
16,0.097,0.097,0.176,1.47,6.885,1.123,62.529,181.575,379.89,0.127
17,0.101,0.09,0.181,977.814,0.155,8.989,32.277,14.714,19.223,0.099
18,0.093,0.106,16.408,48.164,0.146,54.17,0.132,139.103,18.636,0.101
19,0.099,0.11,46.041,0.77,6.454,38.914,81.444,0.134,3.608,0.102
20,0.097,0.103,3.569,25.527,206.396,8.793,59.517,53.111,26.722,0.107
21,0.099,0.104,1.483,12.779,9.016,8.721,253.151,22.551,18.72,0.096
22,0.089,0.106,36.128,23.568,12.518,6.123,0.133,0.13,18.908,0.093
23,0.097,0.099,7.591,33.92,13.429,3.016,56.886,30.429,18.916,0.096
24,0.106,0.102,23.935,1058.325,0.156,8.926,61.612,277.884,18.787,0.096
25,0.101,0.087,20.262,59.647,3.27,36.322,57.86,44.343,5.367,0.098
26,0.085,0.099,33.489,20.833,16.246,7.309,0.132,0.14,4.208,0.104
27,0.091,0.093,2.759,1.619,14.469,8.109,0.137,11.377,17.859,0.102
28,0.095,0.096,6.344,6.311,1.506,38.672,0.107,61.101,18.093,0.102
29,0.11,0.108,33.587,1.112,0.129,8.587,56.14,145.355,18.463,0.094
mean,0.09913333333333334,0.10140000000000003,194.7628,102.3805666666667,21.380099999999995,11.4505,71.85533333333335,83.11673333333334,48.67309999999999,0.1044
