10k-RS
2.548
1.114
30.032
6.19
2.751
3.785
3.249
3.339
1.437
2.05
0.52
4.982
7.131
7.675
2.139
0.478
10.633
0.669
4.434
0.621
1.258
0.597
11.348
5.286
12.255
0.61
2.659
3.436
2.388
4.63
