,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.314,0.593,0.479,0.23,1.247,0.241,0.215,1.179,0.218,1.395
1,0.283,0.476,0.514,0.265,0.244,0.264,0.249,2.399,1.035,27.97
2,0.439,0.28,2.728,0.25,0.343,0.255,1.51,1.28,0.238,1.051
3,0.287,0.267,0.559,0.274,1.089,0.95,0.229,2.406,0.994,2.193
4,0.382,0.418,3.919,0.304,0.207,0.265,0.255,1.24,0.269,0.716
5,0.28,2.412,0.307,2.085,0.193,0.366,0.259,1.224,0.316,3.552
6,0.287,0.356,7.224,0.29,0.343,2.792,0.211,4.753,0.244,3.45
7,0.346,0.533,29.165,0.379,0.323,1.062,0.218,26.137,33.458,27.698
8,0.234,24.118,0.362,0.285,0.446,0.391,0.203,1.185,0.981,0.27
9,0.333,3.848,0.379,5.522,0.349,0.262,0.229,1.198,34.259,2.077
10,0.35,0.939,0.76,0.247,0.347,0.26,27.058,1.076,0.906,3.361
11,0.394,0.454,0.703,21.224,0.376,1.569,0.237,1.873,0.224,25.858
12,0.262,4.967,0.487,0.266,0.202,0.287,1.644,1.255,0.224,27.235
13,0.449,0.365,0.281,0.222,0.979,0.274,0.771,1.187,0.238,0.392
14,0.28,0.48,0.319,0.728,0.194,3.371,29.823,1.237,0.922,2.608
15,0.219,0.929,32.194,0.364,0.375,0.319,28.19,1.238,0.228,0.266
16,0.313,0.986,1.263,0.237,0.499,0.248,0.246,1.126,27.252,1.93
17,0.233,0.418,1.405,0.349,21.156,1.078,2.018,1.783,0.22,0.281
18,0.318,0.322,0.435,0.195,0.199,0.409,0.212,0.2,0.21,1.979
19,0.344,0.354,0.381,1.162,1.189,0.316,0.227,1.13,0.234,0.259
20,0.307,0.439,0.634,0.261,0.238,11.236,0.209,0.202,0.21,2.306
21,0.374,0.432,0.338,0.205,1.18,0.207,0.208,1.127,29.579,0.273
22,0.453,0.318,14.77,0.216,165.052,0.224,3.162,1.16,28.651,1.008
23,0.243,0.311,0.304,0.314,10.138,2.843,2.798,1.846,0.258,26.488
24,0.228,0.283,0.878,0.316,0.522,0.389,0.231,1.106,0.979,28.36
25,0.221,0.275,0.369,3.089,0.359,0.284,0.278,2.118,0.944,0.268
26,0.228,2.047,0.684,1.184,0.265,0.238,1.867,1.265,29.912,2.754
27,0.226,0.36,0.689,9.732,0.219,0.395,0.234,0.303,32.761,0.94
28,0.389,0.274,5.494,0.201,0.211,0.227,0.267,1.772,1.661,1.269
29,0.216,0.623,0.343,0.226,0.232,0.286,0.208,2.388,0.968,2.624
mean,0.3077333333333333,1.629233333333333,3.612233333333333,1.6874,6.957199999999999,1.0436,3.448866666666667,2.279766666666667,7.619766666666666,6.694366666666666
