1-TP
0.314
0.283
0.439
0.287
0.382
0.28
0.287
0.346
0.234
0.333
0.35
0.394
0.262
0.449
0.28
0.219
0.313
0.233
0.318
0.344
0.307
0.374
0.453
0.243
0.228
0.221
0.228
0.226
0.389
0.216
