10-TP
1.395
27.97
1.051
2.193
0.716
3.552
3.45
27.698
0.27
2.077
3.361
25.858
27.235
0.392
2.608
0.266
1.93
0.281
1.979
0.259
2.306
0.273
1.008
26.488
28.36
0.268
2.754
0.94
1.269
2.624
