6-TP
0.241
0.264
0.255
0.95
0.265
0.366
2.792
1.062
0.391
0.262
0.26
1.569
0.287
0.274
3.371
0.319
0.248
1.078
0.409
0.316
11.236
0.207
0.224
2.843
0.389
0.284
0.238
0.395
0.227
0.286
