5k-RS
6.161
0.412
1.218
6.653
0.603
0.298
1.46
0.414
30.936
0.959
3.815
0.698
0.392
5.705
0.946
0.511
0.868
0.281
0.285
0.39
28.614
1.504
5.23
0.904
0.389
0.737
0.987
7.54
0.432
0.297
