,No. of Triple Patterns (TP),Avg. queries exection time(sec)
0,1,0.3077333333333333
1,2,1.629233333333333
2,3,3.612233333333333
3,4,1.6874
4,5,6.957199999999999
5,6,1.0436
6,7,3.448866666666667
7,8,2.279766666666667
8,9,7.619766666666666
9,10,6.694366666666666
