3-JV
1.51
0.253
0.2
1.38
4.115
0.202
1.29
11.05
1.373
32.023
0.862
0.327
13.255
2.023
3.039
0.515
0.639
2.293
0.228
3.05
0.207
0.212
5.23
0.222
1.76
2.394
0.226
1.096
0.286
5.07
