9k-RS
0.456
0.5
21.071
0.875
12.761
11.199
0.462
11.481
0.456
11.909
0.625
10.857
5.567
9.782
11.965
0.403
31.293
10.777
11.051
0.421
16.201
11.156
10.785
10.752
10.784
0.589
0.514
10.888
10.822
11.014
