8k-RS
25.987
2.09
4.848
25.627
2.532
0.233
25.725
25.598
9.83
2.925
2.215
2.778
3.387
3.25
1.269
0.214
16.696
0.896
12.474
0.2
1.155
2.456
0.211
3.2
25.701
4.133
0.197
0.653
4.831
2.219
