2-TP
0.593
0.476
0.28
0.267
0.418
2.412
0.356
0.533
24.118
3.848
0.939
0.454
4.967
0.365
0.48
0.929
0.986
0.418
0.322
0.354
0.439
0.432
0.318
0.311
0.283
0.275
2.047
0.36
0.274
0.623
