5-TP
1.247
0.244
0.343
1.089
0.207
0.193
0.343
0.323
0.446
0.349
0.347
0.376
0.202
0.979
0.194
0.375
0.499
21.156
0.199
1.189
0.238
1.18
165.052
10.138
0.522
0.359
0.265
0.219
0.211
0.232
