6-PV
0.24
0.285
0.305
0.247
0.224
2.273
0.758
0.863
0.243
0.2
0.221
0.313
1.333
0.225
2.895
3.332
0.311
0.226
0.321
0.211
0.278
0.381
0.264
0.453
0.295
0.515
0.523
0.542
0.506
0.551
