3-TP
0.479
0.514
2.728
0.559
3.919
0.307
7.224
29.165
0.362
0.379
0.76
0.703
0.487
0.281
0.319
32.194
1.263
1.405
0.435
0.381
0.634
0.338
14.77
0.304
0.878
0.369
0.684
0.689
5.494
0.343
