7-TP
0.215
0.249
1.51
0.229
0.255
0.259
0.211
0.218
0.203
0.229
27.058
0.237
1.644
0.771
29.823
28.19
0.246
2.018
0.212
0.227
0.209
0.208
3.162
2.798
0.231
0.278
1.867
0.234
0.267
0.208
