7k-RS
12.478
0.517
42.77
0.584
6.652
0.359
5.133
4.883
8.656
0.506
0.259
0.458
0.293
5.968
7.002
7.367
6.947
3.984
0.231
3.192
4.838
22.259
0.205
5.541
6.347
6.136
0.319
0.262
0.229
2.467
